Gender,Age,Hours,mph,finish_all
F,56,4.6386,5.6523,1193
F,41,4.6394,5.6513,1195
F,64,4.6419,5.6482,1198
F,34,4.6436,5.6462,1199
F,56,4.6478,5.6411,1202
F,27,4.6486,5.6401,1203
F,62,4.6489,5.6398,1204
F,35,4.6497,5.6388,1207
F,32,4.6517,5.6364,1208
F,25,4.66,5.6263,1211
F,23,4.6628,5.623,1214
F,52,4.6644,5.621,1216
F,45,4.6644,5.621,1217
F,31,4.6661,5.619,1218
F,46,4.6661,5.619,1219
F,25,4.6667,5.6183,1220
F,45,4.6689,5.6156,1221
F,48,4.6708,5.6133,1223
F,40,4.6714,5.6126,1224
F,57,4.6744,5.609,1226
F,26,4.6744,5.609,1227
F,25,4.6747,5.6086,1228
F,55,4.68,5.6023,1230
F,44,4.6808,5.6013,1232
F,45,4.6839,5.5976,1234
F,55,4.6861,5.595,1235
F,39,4.6889,5.5917,1238
F,51,4.6903,5.59,1239
F,35,4.6925,5.5874,1241
F,34,4.6928,5.587,1243
F,22,4.6947,5.5847,1244
F,39,4.6992,5.5794,1248
F,50,4.7,5.5785,1249
F,24,4.7019,5.5762,1250
F,51,4.7053,5.5722,1252
F,37,4.7061,5.5712,1253
F,58,4.7075,5.5696,1254
F,36,4.7092,5.5676,1256
F,56,4.7094,5.5673,1258
F,53,4.7097,5.5669,1259
F,38,4.7125,5.5637,1262
F,30,4.7131,5.563,1264
F,53,4.7144,5.5614,1267
F,27,4.7158,5.5597,1268
F,32,4.7161,5.5594,1269
F,23,4.7169,5.5584,1270
F,58,4.72,5.5548,1272
F,32,4.7283,5.545,1278
F,35,4.7306,5.5424,1279
F,30,4.7325,5.5401,1281
F,44,4.7347,5.5375,1283
F,29,4.7378,5.534,1285
F,24,4.7419,5.5291,1289
F,47,4.7439,5.5268,1290
F,38,4.7453,5.5252,1291
F,44,4.7461,5.5243,1292
F,55,4.7467,5.5236,1293
F,38,4.7542,5.5149,1296
F,64,4.7586,5.5097,1300
F,43,4.76,5.5081,1302
F,50,4.7606,5.5075,1303
F,54,4.7669,5.5001,1306
F,30,4.7672,5.4998,1307
F,42,4.7692,5.4976,1309
F,38,4.7739,5.4921,1313
F,48,4.7744,5.4915,1314
F,23,4.7789,5.4864,1317
F,34,4.7853,5.479,1320
F,27,4.7853,5.479,1321
F,49,4.7869,5.4771,1323
F,40,4.7875,5.4765,1324
F,35,4.7878,5.4762,1325
F,40,4.7897,5.474,1327
F,34,4.7917,5.4717,1328
F,30,4.7919,5.4714,1329
F,32,4.7936,5.4695,1331
F,28,4.795,5.4679,1334
F,29,4.7972,5.4654,1336
F,51,4.7989,5.4635,1337
F,32,4.8011,5.461,1338
F,40,4.8061,5.4553,1342
F,35,4.8061,5.4553,1344
F,29,4.8092,5.4518,1347
F,51,4.8111,5.4496,1351
F,26,4.8111,5.4496,1352
F,27,4.8117,5.449,1353
F,34,4.8136,5.4468,1354
F,66,4.8172,5.4427,1356
F,55,4.8208,5.4386,1357
F,37,4.8239,5.4352,1358
F,37,4.8242,5.4349,1359
F,45,4.8314,5.4268,1364
F,32,4.8397,5.4174,1368
F,22,4.8419,5.4149,1372
F,28,4.8425,5.4143,1376
F,33,4.8436,5.4131,1377
F,44,4.8458,5.4106,1379
F,50,4.8461,5.4103,1380
F,35,4.8464,5.41,1381
F,60,4.8492,5.4069,1384
F,29,4.8494,5.4065,1385
F,51,4.8494,5.4065,1386
F,35,4.8497,5.4062,1387
F,23,4.8503,5.4056,1389
F,52,4.8519,5.4038,1390
F,35,4.8531,5.4025,1391
F,40,4.8647,5.3896,1398
F,36,4.865,5.3893,1399
F,35,4.8658,5.3883,1400
F,36,4.8658,5.3883,1401
F,46,4.8717,5.3819,1402
F,48,4.8717,5.3819,1403
F,45,4.8778,5.3751,1407
F,28,4.8806,5.3721,1408
F,29,4.8808,5.3718,1410
F,42,4.8853,5.3669,1412
F,26,4.8853,5.3669,1413
F,21,4.8939,5.3574,1416
F,35,4.8942,5.3571,1418
F,29,4.8956,5.3556,1420
F,26,4.8975,5.3535,1423
F,48,4.9006,5.3502,1424
F,27,4.9022,5.3483,1426
F,28,4.9025,5.348,1427
F,48,4.905,5.3453,1428
F,41,4.9053,5.345,1429
F,51,4.9058,5.3444,1430
F,39,4.9097,5.3402,1431
F,61,4.9122,5.3375,1432
F,34,4.9122,5.3375,1433
F,36,4.9122,5.3375,1434
F,31,4.9169,5.3323,1436
F,42,4.9186,5.3305,1437
F,38,4.9239,5.3248,1439
F,44,4.9375,5.3101,1444
F,29,4.9447,5.3024,1447
F,44,4.9497,5.297,1449
